"site","unit","plot","treatment","timestep","l_tph","l_ba","l_qmd","d_tph","d_ba","p_ba","p_seed","np_seed","p_sap","np_sap","midstory_shrubs","graminoids","forb","shrub","tree","vine","non_native","richness","diversity","evenness","ground","fine","cwd","ptorch","pmort"
"California","40","0040-00111","Control","pre",469.14,60.03,40.36,49.38,5.39,9.6,494.21,494.21,0,271.6,NA,0,16,4,26,NA,NA,6,1.38,0.36,93.18,6.33,0,100,95
"California","40","0040-00111","Control","post",444.44,71.91,45.39,49.38,4.76,10.12,0,247.11,0,1209.88,NA,0,0,0,8,NA,NA,1,0,0,128.73,2.93,3.38,100,10
"California","40","0040-00112","Control","pre",222.22,44.56,50.53,49.38,3.72,3.79,1976.84,5189.21,1234.57,3950.62,NA,0,8,8,10,NA,NA,6,1.78,0.55,54.16,11.45,0,100,75
"California","40","0040-00112","Control","post",246.91,50.12,50.84,24.69,6,0.88,4447.9,741.32,592.59,2419.75,NA,0,2,0,2,NA,NA,2,0.69,0.5,156.19,42.58,19.87,100,96
"California","40","0040-00113","Control","pre",469.14,83.82,47.7,24.69,2.63,27.2,4200.79,4942.11,0,0,NA,0,4,4,4,NA,NA,3,1.1,0.44,2.05,2.64,8.68,0,12
"California","40","0040-00113","Control","post",320.99,95.26,61.47,74.07,8.49,20.96,4942.11,247.11,0,320.99,NA,0,0,0,25,NA,NA,1,0,0,40.76,17.9,14.31,90,100
"California","40","0040-00114","Control","pre",320.99,33.45,36.42,49.38,5.41,3.83,1482.63,6918.95,246.91,5679.01,NA,0,4,0,30,NA,NA,3,0.71,0.2,28.72,5.05,2.05,100,23
"California","40","0040-00114","Control","post",296.3,51.34,46.97,24.69,1.57,0,0,0,0,1283.95,NA,0,0,0,35,NA,NA,1,0,0,297.13,11.03,9.29,100,83
"California","40","0040-00115","Control","pre",493.83,47.83,35.12,0,0,47.15,0,0,0,1234.57,NA,0,0,0,26,NA,NA,1,0,0,40.33,16.04,49.88,53,27
"California","40","0040-00115","Control","post",493.83,60.91,39.63,24.69,1.04,43.66,6671.85,0,0,469.14,NA,0,0,0,10,NA,NA,1,0,0,50.97,8.81,3.24,95,24
"California","40","0040-00116","Control","pre",543.21,46.54,33.03,98.77,8.15,70.78,0,247.11,0,1975.31,NA,0,0,8,26,NA,NA,3,0.71,0.2,54.79,2.64,6.96,65,36
"California","40","0040-00116","Control","post",469.14,57.28,39.43,123.46,10.04,65.7,54857.4,741.32,0,493.83,NA,0,0,0,15,NA,NA,1,0,0,222.51,10.64,16.25,5,33
"California","60","0060-00021","Fire","pre",395.06,47.45,39.11,0,0,47.7,0,0,246.91,246.91,NA,0,0,0,0,NA,NA,0,0,0,92.35,8.93,15.72,95,97
"California","60","0060-00021","Fire","post",123.46,44.27,67.57,24.69,1.51,62.25,5683.42,3459.48,0,24.69,NA,0,0,5,0,NA,NA,1,0,0,28.82,2.59,2.56,0,7
"California","60","0060-00027","Fire","pre",172.84,26.84,44.47,24.69,3.57,0,3953.69,12602.38,987.65,0,NA,0,0,15,0,NA,NA,1,0,0,51.87,23.93,8.29,100,13
"California","60","0060-00027","Fire","post",148.15,36.48,55.99,0,0,0,1482.63,28911.33,765.43,172.84,NA,0,0,15,0,NA,NA,1,0,0,41.68,3.57,0,100,7
"California","60","0060-00101","Fire","pre",617.28,41.32,29.19,0,0,0,2718.16,494.21,0,271.6,NA,0,0,0,4,NA,NA,1,0,0,149.02,9.81,18.82,98,100
"California","60","0060-00101","Fire","post",592.59,55.09,34.4,24.69,1.95,0,3706.58,988.42,0,0,NA,0,0,0,0,NA,NA,0,0,0,70.07,6.34,0,0,100
"California","60","0060-00102","Fire","pre",493.83,67.81,41.81,0,0,63.03,1482.63,0,0,296.3,NA,0,0,4,0,NA,NA,1,0,0,154.73,18.46,5.36,17,100
"California","60","0060-00102","Fire","post",172.84,47.57,59.2,24.69,4.47,48.42,1729.74,10872.64,0,0,NA,0,0,15,0,NA,NA,1,0,0,16.91,2.37,199.34,0,7
"California","60","0060-00103","Fire","pre",345.68,43.83,40.18,0,0,27.49,741.32,1235.53,0,0,NA,4,12,18,0,NA,NA,8,2.07,0.59,58.79,25.56,0,0,13
"California","60","0060-00103","Fire","post",222.22,50.46,53.77,49.38,5.87,19.64,741.32,11613.95,0,0,NA,5,0,40,0,NA,NA,2,0.35,0.09,69.17,5.58,0,0,6
"California","60","0060-00104","Fire","pre",271.6,30.61,37.88,0,0,19.85,741.32,0,24.69,0,NA,0,8,38,0,NA,NA,6,1.38,0.36,122.05,9.86,19.7,97,98
"California","60","0060-00104","Fire","post",320.99,49.15,44.16,0,0,19.48,1976.84,247.11,49.38,197.53,NA,0,0,0,0,NA,NA,0,0,0,32.64,3.17,0,53,9
"California","60","0060-00105","Fire","pre",469.14,45.68,35.21,0,0,17.94,2471.05,0,0,493.83,NA,0,4,4,4,NA,NA,3,1.1,0.44,61.9,13.72,12.83,13,18
"California","60","0060-00105","Fire","post",271.6,54.65,50.61,49.38,4.73,20.38,988.42,494.21,0,0,NA,0,0,0,0,NA,NA,0,0,0,30.14,11.43,8.66,0,8
"California","60","0060-00106","Fire","pre",493.83,49.7,35.8,0,0,24.37,0,0,0,246.91,NA,0,0,0,0,NA,NA,0,0,0,156.36,12.5,29.24,41,16
"California","60","0060-00106","Fire","post",296.3,56.43,49.24,49.38,3.24,19.35,0,4200.79,0,0,NA,0,0,0,0,NA,NA,0,0,0,55.24,17,35.05,0,9
"California","60","0060-00107","Fire","pre",271.6,21.44,31.7,0,0,0,12849.48,0,2962.96,246.91,NA,4,16,22,4,NA,NA,11,2.39,0.62,26.34,13.67,33.05,100,19
"California","60","0060-00107","Fire","post",148.15,27.34,48.47,0,0,0,2223.95,7907.37,320.99,123.46,NA,0,0,10,0,NA,NA,1,0,0,51.8,1.37,11.32,97,9
"California","60","0060-00108","Fire","pre",271.6,20.42,30.94,0,0,39.87,7907.37,0,246.91,246.91,NA,0,0,16,4,NA,NA,5,1.61,0.54,88.75,13.52,8.27,96,38
"California","60","0060-00108","Fire","post",24.69,3.62,43.18,49.38,4.82,0,0,2471.05,148.15,24.69,NA,0,0,85,0,NA,NA,1,0,0,39.55,NA,17.7,70,12
"California","60","0060-00109","Fire","pre",370.37,57.08,44.3,49.38,2.28,30.09,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,32.84,6.02,45.17,0,9
"California","60","0060-00109","Fire","post",197.53,69.54,66.95,24.69,1.18,36.06,0,494.21,0,0,NA,0,0,0,0,NA,NA,0,0,0,28.2,8.68,16.61,0,4
"California","60","0060-00111","Fire","pre",296.3,41.27,42.11,0,0,23.96,1482.63,1482.63,0,0,NA,0,20,12,4,NA,NA,9,2.2,0.61,126.96,26.02,16.18,5,12
"California","60","0060-00111","Fire","post",172.84,49.5,60.38,24.69,2.59,24.9,988.42,26193.17,0,0,NA,0,0,0,0,NA,NA,0,0,0,26.7,4.24,93.71,0,6
"California","60","0060-00112","Fire","pre",246.91,40.08,45.46,0,0,12.24,3459.48,2965.26,0,0,NA,0,12,12,4,NA,NA,7,1.95,0.58,67.22,13.28,0,0,13
"California","60","0060-00112","Fire","post",197.53,46.76,54.9,0,0,0,741.32,26687.38,0,0,NA,0,0,0,0,NA,NA,0,0,0,45.89,4.67,0,0,8
"California","60","0060-00113","Fire","pre",148.15,35.31,55.09,0,0,32.73,10378.43,988.42,0,0,NA,4,12,0,4,NA,NA,5,1.61,0.54,40.57,22.83,21.08,5,9
"California","60","0060-00113","Fire","post",98.77,46.52,77.44,0,0,35.83,1976.84,13096.59,197.53,24.69,NA,0,0,45,0,NA,NA,1,0,0,28.94,13.82,10.3,73,4
"California","60","0060-00114","Fire","pre",222.22,58.83,58.06,74.07,48.01,28.2,988.42,494.21,0,0,NA,4,8,20,4,NA,NA,9,2.2,0.61,35.27,8.51,78.31,3,6
"California","60","0060-00114","Fire","post",98.77,56.87,85.62,24.69,3.2,55.69,0,1235.53,0,0,NA,0,0,10,0,NA,NA,1,0,0,32.47,6.61,18.96,0,2
"California","60","0060-00116","Fire","pre",246.91,36.84,43.59,24.69,3.01,0,1235.53,494.21,246.91,1728.4,NA,4,16,24,10,NA,NA,13,2.56,0.64,44.85,13.56,33.29,100,32
"California","60","0060-00116","Fire","post",197.53,44.77,53.72,0,0,0,0,31135.28,0,49.38,NA,0,0,35,0,NA,NA,1,0,0,42.37,4.65,6.34,2,8
"California","60","0060-00117","Fire","pre",320.99,44.26,41.9,0,0,60.33,10378.43,7166.06,4197.53,0,NA,4,8,16,4,NA,NA,7,1.93,0.56,30.01,11.84,0,100,15
"California","60","0060-00117","Fire","post",172.84,56.35,64.43,0,0,61.12,2718.16,7907.37,740.74,24.69,NA,0,0,15,0,NA,NA,1,0,0,34.43,5.5,3.58,13,6
"California","60","0060-00119","Fire","pre",444.44,63.46,42.64,0,0,30.77,1482.63,2718.16,0,0,NA,0,20,4,4,NA,NA,7,1.95,0.58,73.4,20.56,55.68,19,14
"California","60","0060-00119","Fire","post",246.91,70.86,60.45,49.38,6.5,19.2,1976.84,23722.12,0,0,NA,0,0,0,0,NA,NA,0,0,0,60.67,7.94,0,0,6
"California","60","0060-00130","Fire","pre",419.75,45.4,37.11,0,0,46.93,49421.08,741.32,1975.31,740.74,NA,0,8,6,4,NA,NA,4,1.37,0.47,104.27,4.63,14.36,100,18
"California","60","0060-00130","Fire","post",370.37,48.09,40.66,24.69,2.38,19.99,10378.43,7907.37,49.38,98.77,NA,0,0,0,0,NA,NA,0,0,0,46.56,7.44,3.51,23,14
"California","180","0180-00004","Mech+Fire","pre",543.21,71.42,40.91,0,0,81.63,21251.07,741.32,0,1481.48,NA,5,0,0,0,NA,NA,1,0,0,76.98,1.07,4,96,100
"California","180","0180-00004","Mech+Fire","post",74.07,52.17,94.69,0,0,100,3212.37,988.42,0,0,NA,0,0,15,0,NA,NA,1,0,0,3.68,1.42,3.84,0,4
"California","180","0180-00008","Mech+Fire","pre",543.21,38.31,29.97,0,0,6.13,3212.37,494.21,0,740.74,NA,0,0,0,0,NA,NA,0,0,0,91.86,16.74,71.71,100,100
